iter	Passed	Remaining
907	2655	269
908	2657	266
909	2660	263
910	2663	260
911	2666	257
912	2668	254
913	2671	251
914	2674	248
915	2676	245
916	2679	242
917	2682	239
918	2684	236
919	2687	233
920	2690	230
921	2693	227
922	2696	224
923	2698	221
924	2701	219
925	2704	216
926	2706	213
927	2709	210
928	2712	207
929	2715	204
930	2717	201
931	2720	198
932	2723	195
933	2726	192
934	2728	189
935	2731	186
936	2733	183
937	2736	180
938	2739	177
939	2742	175
940	2745	172
941	2747	169
942	2750	166
943	2753	163
944	2756	160
945	2758	157
946	2761	154
947	2764	151
948	2766	148
949	2769	145
950	2772	142
951	2775	139
952	2778	137
953	2780	134
954	2783	131
955	2786	128
956	2788	125
957	2791	122
958	2794	119
959	2797	116
960	2799	113
961	2802	110
962	2805	107
963	2808	104
964	2810	101
965	2813	99
966	2816	96
967	2818	93
968	2821	90
969	2824	87
970	2827	84
971	2829	81
972	2832	78
973	2835	75
974	2837	72
975	2840	69
976	2843	66
977	2845	64
978	2848	61
979	2851	58
980	2854	55
981	2856	52
982	2859	49
983	2862	46
984	2864	43
985	2867	40
986	2870	37
987	2872	34
988	2875	31
989	2878	29
990	2880	26
991	2883	23
992	2886	20
993	2888	17
994	2891	14
995	2894	11
996	2897	8
997	2899	5
998	2902	2
999	2905	0
